Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,Parents Phone
Swapno 64,12/31/2005,male,Islam,swapno64example.com,1762681664,Comilla,13,A,English Version,Day,82,AB+,Comilla,Bangladeshi,iiii,Science,Biology,1762681664
Swapno 65,12/31/2005,male,Islam,swapno65example.com,1762681665,Dhaka,13,A,English Version,Day,83,O+,Dhaka,Bangladeshi,aaa ,Science,Biology,1762681665
Swapno 66,12/31/2005,male,Islam,swapno66example.com,1762681666,Tangail,13,A,English Version,Day,84,A+,Tangail,Bangladeshi,BBB,Science,Biology,1762681666
Swapno 67,12/31/2005,male,Islam,swapno67example.com,1762681667,Sylhet,13,A,English Version,Day,85,B+,Sylhet,Bangladeshi,ccc ,Science,Biology,1762681667
Swapno 68,12/31/2005,male,Islam,swapno68example.com,1762681668,Barisal,13,A,English Version,Day,86,AB+,Barisal,Bangladeshi,ddd,Science,Biology,1762681668
Swapno 69,12/31/2005,male,Islam,swapno69example.com,1762681669,Comilla,13,A,English Version,Day,87,O+,Comilla,Bangladeshi,eee,Science,Biology,1762681669
Swapno 70,12/31/2005,male,Islam,swapno70example.com,1762681670,Dhaka,13,A,English Version,Day,88,A+,Dhaka,Bangladeshi,ffff,Science,Biology,1762681670
Swapno 71,12/31/2005,male,Islam,swapno71example.com,1762681671,Tangail,13,A,English Version,Day,89,B+,Tangail,Bangladeshi,gggg,Science,Biology,1762681671
Swapno 72,12/31/2005,male,Islam,swapno72example.com,1762681672,Sylhet,13,A,English Version,Day,90,AB+,Sylhet,Bangladeshi,hhh,Science,Biology,1762681672
Swapno 73,12/31/2005,male,Islam,swapno73example.com,1762681673,Barisal,13,A,English Version,Day,91,O+,Barisal,Bangladeshi,iiii,Science,Biology,1762681673
Swapno 74,12/31/2005,male,Islam,swapno74example.com,1762681674,Comilla,13,A,English Version,Day,92,A+,Comilla,Bangladeshi,aaa ,Science,Biology,1762681674
Swapno 75,12/31/2005,male,Islam,swapno75example.com,1762681675,Dhaka,13,A,English Version,Day,93,B+,Dhaka,Bangladeshi,BBB,Science,Biology,1762681675
Swapno 76,12/31/2005,male,Islam,swapno76example.com,1762681676,Tangail,13,A,English Version,Day,94,AB+,Tangail,Bangladeshi,ccc ,Science,Biology,1762681676
Swapno 77,12/31/2005,male,hindu,swapno77example.com,1762681677,Sylhet,13,A,English Version,Day,95,O+,Sylhet,Bangladeshi,ddd,Science,Biology,1762681677
Swapno 78,12/31/2005,male,hindu,swapno78example.com,1762681678,Barisal,13,A,English Version,Day,96,A+,Barisal,Bangladeshi,eee,Science,Biology,1762681678
Swapno 79,12/31/2005,male,hindu,swapno79example.com,1762681679,Comilla,13,A,English Version,Day,97,B+,Comilla,Bangladeshi,ffff,Science,Biology,1762681679
Swapno 80,12/31/2005,male,hindu,swapno80example.com,1762681680,Dhaka,13,A,English Version,Day,98,AB+,Dhaka,Bangladeshi,gggg,Science,Biology,1762681680
