Name,Dob,Gender,Religion,Mail,Phone,Address,Class,Section,Version,Shift,Roll,BloodGroup,State,Country,FBID,Group,OptionalSubject,ParentPhone
Mustofa 135,05/22/2054,Male,Hindu ,Mustofa 135@example.com,1762144435,Sylhet,12,B,English Version,Morning,15,B+,Dhaka,Bangladesh,ueuu,Commerce,Statistics,1762681135
Mustofa 136,05/22/2055,Female,Islam,Mustofa 136@example.com,1762144436,Sylhet,12,B,English Version,Morning,16,B+,Dhaka,Bangladesh,roro[p,Commerce,Statistics,1762681136
Mustofa 137,05/22/2056,Female,Islam,Mustofa 137@example.com,1762144437,Sylhet,12,B,English Version,Morning,17,B+,Dhaka,Bangladesh,jkgioro,Humanities,Pouroniti,1762681137
Mustofa 138,05/22/2057,Female,Islam,Mustofa 138@example.com,1762144438,Sylhet,12,B,English Version,Morning,18,O+,Dhaka,Bangladesh,jgkjg,Humanities,Pouroniti,1762681138
Mustofa 139,05/22/2058,Male,Islam,Mustofa 139@example.com,1762144439,Sylhet,12,B,English Version,Morning,19,O+,Dhaka,Bangladesh,jhii,Humanities,Pouroniti,1762681139
Mustofa 140,05/22/2059,Male,Islam,Mustofa 140@example.com,1762144440,Dhaka,12,B,English Version,Morning,20,O+,Dhaka,Bangladesh,jfgj,Humanities,Pouroniti,1762681140
Mustofa 141,05/22/2060,Male,Islam,Mustofa 141@example.com,1762144441,Dhaka,12,A,English Version,Day,11,AB+,Dhaka,Bangladesh,u uioior,Science,Biology,1762681141
Mustofa 142,05/22/2061,Male,Hindu ,Mustofa 142@example.com,1762144442,Dhaka,12,A,English Version,Day,12,AB+,Dhaka,Bangladesh,jhuriiop,Science,Biology,1762681142
Mustofa 143,05/22/2062,Male,Hindu ,Mustofa 143@example.com,1762144443,Dhaka,12,A,English Version,Day,13,B+,Dhaka,Bangladesh,gtrtrt,Science,Biology,1762681143
Mustofa 144,05/22/2063,Male,Islam,Mustofa 144@example.com,1762144444,Dhaka,12,A,English Version,Day,14,B+,Dhaka,Bangladesh,oieuyu,Commerce,Statistics,1762681144
Mustofa 145,05/22/2064,Male,Islam,Mustofa 145@example.com,1762144445,Dhaka,12,A,English Version,Day,15,A+,Dhaka,Bangladesh,jnhbjhf,Commerce,Statistics,1762681145
Mustofa 146,05/22/2065,Male,Hindu ,Mustofa 146@example.com,1762144446,Dhaka,12,A,English Version,Day,16,A+,Dhaka,Bangladesh,jnhg,Commerce,Statistics,1762681146
Mustofa 147,05/22/2066,Female,Islam,Mustofa 147@example.com,1762144447,Dhaka,12,A,English Version,Day,17,A+,Dhaka,Bangladesh,fjghjj,Humanities,Pouroniti,1762681147
Mustofa 148,05/22/2067,Female,Islam,Mustofa 148@example.com,1762144448,Tangail,12,A,English Version,Day,18,A+,Dhaka,Bangladesh,iiiu,Humanities,Pouroniti,1762681148
Mustofa 149,05/22/2068,Female,Islam,Mustofa 149@example.com,1762144449,Tangail,12,A,English Version,Day,19,A+,Dhaka,Bangladesh,j rjkjkk,Humanities,Pouroniti,1762681149
Mustofa 150,05/22/2069,Female,Islam,Mustofa 150@example.com,1762144450,Tangail,12,A,English Version,Day,20,A+,Dhaka,Bangladesh,yyruyu,Humanities,Pouroniti,1762681150
Mustofa 151,05/22/2070,Male,Islam,Mustofa 151@example.com,1762144451,Tangail,12,B,English Version,Day,11,A+,Dhaka,Bangladesh,uyruoi,Science,Biology,1762681151
Mustofa 152,05/22/2071,Male,Islam,Mustofa 152@example.com,1762144452,Tangail,12,B,English Version,Day,12,A+,Dhaka,Bangladesh,uhk 9,Science,Biology,1762681152
Mustofa 153,05/22/2072,Male,Islam,Mustofa 153@example.com,1762144453,Tangail,12,B,English Version,Day,13,B+,Dhaka,Bangladesh,klii[po,Science,Biology,1762681153
Mustofa 154,05/22/2073,Male,Islam,Mustofa 154@example.com,1762144454,Manikganj,12,B,English Version,Day,14,B+,Dhaka,Bangladesh,yyu,Commerce,Statistics,1762681154
Mustofa 155,05/22/2074,Male,Islam,Mustofa 155@example.com,1762144455,Manikganj,12,B,English Version,Day,15,AB+,Dhaka,Bangladesh,hgy,Commerce,Statistics,1762681155
Mustofa 156,05/22/2075,Female,Islam,Mustofa 156@example.com,1762144456,Manikganj,12,B,English Version,Day,16,AB+,Dhaka,Bangladesh,oiiuy,Commerce,Statistics,1762681156
Mustofa 157,05/22/2076,Female,Hindu ,Mustofa 157@example.com,1762144457,Manikganj,12,B,English Version,Day,17,O+,Dhaka,Bangladesh,huttrfy,Humanities,Pouroniti,1762681157
Mustofa 158,05/22/2077,Female,Hindu ,Mustofa 158@example.com,1762144458,Manikganj,12,B,English Version,Day,18,O+,Dhaka,Bangladesh,wddfgf,Humanities,Pouroniti,1762681158
Mustofa 159,05/22/2078,Male,Hindu ,Mustofa 159@example.com,1762144459,Sylhet,12,B,English Version,Day,19,O+,Dhaka,Bangladesh,nmnjj,Humanities,Pouroniti,1762681159
Mustofa 160,05/22/2079,Male,Hindu ,Mustofa 160@example.com,1762144460,Sylhet,12,B,English Version,Day,20,O+,Dhaka,Bangladesh,iuip,Humanities,Pouroniti,1762681160
